1,慢SQL检测,com.tangym.sql.server.scheduler.SqlExplainScheduleTask,*/30 * * * * ?,1
2,慢SQL失败任务重检测,com.tangym.sql.server.scheduler.SqlExplainFailScheduleTask,15 0 * * * ?,1
3,慢SQL定时告警,com.tangym.sql.server.scheduler.SqlExplainDingTalkAlertTask,"20 0 10-20/2 ? * MON,TUE,WED,THU,FRI *",1
4,DB表结构Hash值计算,com.tangym.sql.server.scheduler.SqlExplainTableHash,50 0 3 * * ?,1
5,应用汇总信息计算,com.tangym.sql.server.scheduler.SqlExplainStatisticsTask,40 */30 * ? * *,1
6,上报SQL清理（保留最近半个月数据）,com.tangym.sql.server.scheduler.SqlExplainClearDataTask,0 0 0 ? * FRI *,1
